,username,wafer_num,pos,cap_diam,cap_ind,flags,-1.00,-0.90,-0.80,-0.70,-0.60,-0.50,-0.40,-0.30,-0.20,-0.10,0.00,0.10,0.20,0.30,0.40,0.50,0.60,0.70,0.80,0.90,1.00
30,Wafer5_mid_200d_p1,5,CENTER,200.0,1,,2.4661099075752167e-10,2.46294936940442e-10,2.459535614394085e-10,2.4562905763353233e-10,2.4530759216725283e-10,2.450404087749242e-10,2.4476633636389606e-10,2.445166262636396e-10,2.4414713810882437e-10,2.4390621356551985e-10,2.4365065709769333e-10,2.4339062768725185e-10,2.4311826710048755e-10,2.4288225495841764e-10,2.4264530424680527e-10,2.424332220677731e-10,2.4225909934735245e-10,2.420648708263235e-10,2.419397995362333e-10,2.4178866660188566e-10,2.417438824706704e-10
31,Wafer5_mid_200d_p2_d,5,CENTER,200.0,2,d,2.4527029957001737e-10,2.448974117476267e-10,2.444688610934619e-10,2.441181835394631e-10,2.43687355465401e-10,2.4341693016249575e-10,2.4300260576685264e-10,2.4269952575717224e-10,2.4240645128617977e-10,2.4213629944300926e-10,2.4192386957104895e-10,2.4178819286034217e-10,2.41611187007833e-10,2.4147274866448163e-10,2.4145505949859773e-10,2.414232112229207e-10,2.4141540761166353e-10,2.4141267187437116e-10,2.4140633839037325e-10,2.414029241391892e-10,2.414256329196796e-10
33,Wafer5_mid_200d_p3_n,5,CENTER,200.0,3,n,1.4606074902001717e-10,1.6852203611616324e-10,1.7919088818869065e-10,1.1933901105264878e-10,1.2497484122288175e-10,1.6918367118086807e-10,1.5837287361779467e-10,1.6260477519297341e-10,1.8053969633611942e-10,1.6309474817020366e-10,1.2496682599577212e-10,1.1389049327836971e-10,1.6119898624163134e-10,1.765453052064787e-10,1.5275170573300872e-10,1.6720195090863487e-10,1.423924187163399e-10,1.1165374968616323e-10,1.0728519813221623e-10,1.0597122364085504e-10,1.292466614262416e-10
34,Wafer5_mid_200d_p4_d,5,CENTER,200.0,4,d,2.4525318717069267e-10,2.448520122387714e-10,2.4449541165469133e-10,2.4414192873117593e-10,2.4378886713397735e-10,2.434538428497707e-10,2.43124155633726e-10,2.4282767186872006e-10,2.4254370443245715e-10,2.4224298559751515e-10,2.420469344150303e-10,2.418707228294358e-10,2.4168944999168487e-10,2.4164956168203005e-10,2.4156732488845495e-10,2.415728357492693e-10,2.415007573106975e-10,2.4152312026323343e-10,2.414993528610648e-10,2.415110516167281e-10,2.415330265025047e-10
36,Wafer5_mid_200d_p5_d,5,CENTER,200.0,5,d,2.3966148958054415e-10,2.393366954707873e-10,2.389328764888334e-10,2.3861175999732076e-10,2.382605841820306e-10,2.379088267752377e-10,2.376336223773259e-10,2.373475159660553e-10,2.3703171353851547e-10,2.3680178093120387e-10,2.365795290792339e-10,2.364161949123723e-10,2.3629076831563914e-10,2.361690104200144e-10,2.3621855866051074e-10,2.361454519705549e-10,2.36170214642327e-10,2.3613371123291045e-10,2.3610809808638376e-10,2.361271045585868e-10,2.361821438840117e-10
38,Wafer5_mid_200d_p6_d,5,CENTER,200.0,6,d,2.422461601352788e-10,2.418688172904985e-10,2.4158581630002886e-10,2.4118923961810953e-10,2.408884844918044e-10,2.4054847238976736e-10,2.40255770871816e-10,2.3993532377097826e-10,2.396724833382142e-10,2.3947179368849794e-10,2.392666605406427e-10,2.3908944483365244e-10,2.390250207991075e-10,2.389372028093646e-10,2.3890783951214785e-10,2.3884452359752765e-10,2.3887643755004516e-10,2.3881549190619324e-10,2.3889049174688955e-10,2.388785267836366e-10,2.3885301681837346e-10
39,Wafer5_mid_200d_p7,5,CENTER,200.0,7,,2.4350926205811034e-10,2.431361479624011e-10,2.4284674052961976e-10,2.4253825185879926e-10,2.4224709720432166e-10,2.4192880495279876e-10,2.41632141866337e-10,2.413964913188858e-10,2.4108900453384826e-10,2.4077244684836183e-10,2.4052990658212777e-10,2.403232945135302e-10,2.400191825395043e-10,2.398022177411993e-10,2.3954367620717603e-10,2.3936790974828477e-10,2.391682678813155e-10,2.3896202244147726e-10,2.388578575242611e-10,2.387608280066078e-10,2.3864112794596814e-10
331,Wafer6_M_200d_p1_d,6,CENTER,200.0,1,d,2.4684155344285493e-10,2.464852837328642e-10,2.460878811507533e-10,2.4579762278256105e-10,2.4550029839626794e-10,2.4514999327914633e-10,2.4485124147018624e-10,2.445738107992474e-10,2.443031807575863e-10,2.440692484520704e-10,2.438742023881099e-10,2.437201168498956e-10,2.4361822810524236e-10,2.4354026933166695e-10,2.434669015046639e-10,2.4337033696773545e-10,2.4337446139098286e-10,2.4333420647338987e-10,2.4334894881482975e-10,2.433206164656796e-10,2.4336311595821936e-10
332,Wafer6_M_200d_p2,6,CENTER,200.0,2,,2.405547719123777e-10,2.402389686977713e-10,2.399085182748963e-10,2.395746393381584e-10,2.392867005074749e-10,2.390082633743655e-10,2.386962035223875e-10,2.3841916307925135e-10,2.381501231508063e-10,2.37876013003019e-10,2.3758448598754384e-10,2.3736134479776736e-10,2.3710434077979163e-10,2.3683159532288977e-10,2.366420246205423e-10,2.364377427584858e-10,2.3626524343575805e-10,2.3610643598946633e-10,2.3600933597796254e-10,2.3597305593368293e-10,2.358762682179352e-10
333,Wafer6_M_200d_p3,6,CENTER,200.0,3,,2.492109106059454e-10,2.489096547135034e-10,2.4859504791100864e-10,2.4826445553031156e-10,2.480007428294944e-10,2.4771600239895697e-10,2.474361575651539e-10,2.471786893385311e-10,2.468902031677415e-10,2.4662223356097136e-10,2.4629639512822937e-10,2.460563330700109e-10,2.4584260130694935e-10,2.4555142724489625e-10,2.4535579647303543e-10,2.45159853504161e-10,2.4501531117879683e-10,2.448642961065839e-10,2.4473112224855155e-10,2.4465383045027647e-10,2.445135419665966e-10
