,username,wafer_num,pos,cap_diam,cap_ind,flags
502,Wafer6_T_100d_p4,6,TOP,100.0,4,
503,Wafer6_T_100d_p5,6,TOP,100.0,5,
495,Wafer6_T_200d_p1,6,TOP,200.0,1,
497,Wafer6_T_200d_p2,6,TOP,200.0,2,
498,Wafer6_T_200d_p3,6,TOP,200.0,3,
488,Wafer6_T_300d_p1,6,TOP,300.0,1,
489,Wafer6_T_300d_p2,6,TOP,300.0,2,
491,Wafer6_T_300d_p3,6,TOP,300.0,3,
485,Wafer6_T_400d_p1,6,TOP,400.0,1,
477,Wafer6_T_500d_p1,6,TOP,500.0,1,
472,Wafer6_T_600d_p1_d,6,TOP,600.0,1,d
473,Wafer6_T_600d_p2,6,TOP,600.0,2,
474,Wafer6_T_600d_p3,6,TOP,600.0,3,
461,Wafer6_T_800d_p1,6,TOP,800.0,1,
457,Wafer6_T_900d_p1,6,TOP,900.0,1,
452,Wafer6_T_1000d_p1,6,TOP,1000.0,1,
